date,time,lat,lon,depth,mw,str1,dip1,rake1,str2,dip2,rake2,mo,fac,mpp,mpr,mrr,mrt,mtp,mtt,datetime
1977-05-28,05:51:48.380,-1.909,120.486,35.0,6.12,33,86,167,123,77,4,1.85,18.0,-1.76,0.3,0.23,0.27,0.73,1.53,1977-05-28 05:51:48.380
1977-11-27,09:33:45.910,-0.808,120.653,35.0,5.84,310,65,-140,201,55,-31,7.15,17.0,5.95,0.21,-3.23,4.47,-2.3,-2.72,1977-11-27 09:33:45.910
1993-01-03,04:23:34.540,-1.562,119.699,25.0,5.67,160,83,19,68,72,173,3.93,17.0,-3.38,-1.0,1.51,0.13,-2.71,1.88,1993-01-03 04:23:34.540
1993-01-03,04:23:41.800,-1.17,120.08,48.4,5.7,68,72,173,160,83,19,3.93e+24,24.0,,,,,,,1993-01-03 04:23:41.800
1995-05-19,21:29:58.500,-1.1,120.2,30.0,5.8,129,29,-58,274,65,-160,,,,,,,,,1995-05-19 21:29:58.500
1997-06-03,12:23:55.100,-1.95,120.33,42.1,5.4,287,46,-59,67,52,-118,1.5e+24,24.0,,,,,,,1997-06-03 12:23:55.100
1998-10-10,16:29:04.500,-0.3,119.8,33.0,6.0,359,34,41,233,69,117,,,,,,,,,1998-10-10 16:29:04.500
1998-10-10,16:32:23.400,-0.8,120.1,28.0,5.5,355,31,35,235,73,116,,,,,,,,,1998-10-10 16:32:23.400
2000-12-28,21:06:46.500,-0.49,119.95,20.0,4.5,108,54,-150,359,66,-40,,,,,,,,,2000-12-28 21:06:46.500
2000-12-28,21:06:54.200,-0.62,120.25,27.2,5.4,108,54,-150,359,66,-40,1.42e+24,24.0,,,,,,,2000-12-28 21:06:54.200
2001-11-30,15:22:07.540,-1.161,119.901,38.3,5.18,170,50,12,72,81,140,7.49,16.0,-3.43,-1.96,0.16,6.02,-3.98,3.27,2001-11-30 15:22:07.540
2001-11-30,15:22:08.800,-1.34,120.51,38.3,5.2,170,50,12,72,81,140,7.49e+23,23.0,,,,,,,2001-11-30 15:22:08.800
2002-02-14,13:14:26.940,-1.776,120.215,23.0,5.05,221,64,175,313,86,26,4.7,16.0,-3.87,0.7,-0.57,-2.26,0.29,4.45,2002-02-14 13:14:26.940
2002-05-30,12:45:17.300,-1.545,119.61,35.8,5.24,9,20,49,232,75,104,9.18,16.0,-3.76,-4.31,4.5,-6.36,-2.79,-0.74,2002-05-30 12:45:17.300
2002-07-01,08:11:05.540,-1.485,120.191,15.0,5.31,271,34,-97,99,56,-86,1.15,17.0,-0.03,0.12,-1.03,-0.44,-0.1,1.07,2002-07-01 08:11:05.540
2002-07-01,08:11:07.800,-0.95,120.45,15.0,5.3,271,34,-97,99,56,-86,1.15e+24,24.0,,,,,,,2002-07-01 08:11:07.800
2004-11-02,21:48:17.200,-0.96,119.57,26.5,4.9,351,63,-21,91,71,-151,2.87e+23,23.0,,,,,,,2004-11-02 21:48:17.200
2005-01-23,19:59:43.700,-1.101,120.043,15.0,5.26,76,52,-151,327,68,-42,0.99,17.0,-0.31,-0.36,-0.53,0.15,-0.6,0.84,2005-01-23 19:59:43.700
2005-01-23,20:10:12.920,-1.19,120.013,10.0,6.24,321,61,-59,90,41,-133,2.8,18.0,-0.22,-1.1,-1.9,0.51,-1.62,2.13,2005-01-23 20:10:12.920
2005-04-05,08:43:31.000,-1.04,120.62,28.1,4.8,90,44,-91,270,46,-90,1.72e+23,23.0,,,,,,,2005-04-05 08:43:31.000
2005-07-09,23:59:14.250,-1.227,119.998,10.0,5.88,320,64,-53,80,44,-141,0.8,18.0,-0.19,-0.31,-0.49,0.16,-0.42,0.69,2005-07-09 23:59:14.250
2006-01-03,11:00:17.300,-0.24,119.94,12.0,5.0,89,75,-170,356,80,-15,4.02e+23,23.0,,,,,,,2006-01-03 11:00:17.300
2008-08-21,21:30:46.150,-0.338,119.63,35.0,5.04,230,47,125,4,53,58,4.59,16.0,-3.46,1.15,3.77,-1.41,-2.16,-0.32,2008-08-21 21:30:46.150
2009-03-02,00:03:41.540,-1.105,119.843,20.0,5.56,309,50,-87,125,40,-93,2.7,17.0,0.77,-0.32,-2.47,0.3,-1.56,1.7,2009-03-02 00:03:41.540
2010-01-08,08:15:25.100,-0.5,120.0,19.9,4.8,73,65,-179,343,89,-25,2.25e+23,23.0,,,,,,,2010-01-08 08:15:25.100
2010-01-08,08:15:26.0,-0.616737,119.93924,14.008,5.1336,179,58,-3,270,88,-148,,C,,,,,,,2010-01-08 08:15:26.000
2010-02-17,01:49:14.0,-0.528614,119.828659,14.803,4.93146,97,69,166,192,77,22,,B,,,,,,,2010-02-17 01:49:14.000
2010-03-18,16:16:15.0,-1.640637,120.598969,14.184,4.72932,202,76,170,295,80,15,,B,,,,,,,2010-03-18 16:16:15.000
2010-03-26,09:12:49.0,-1.341562,120.30574,8.141,4.62825,44,80,-169,312,80,-11,,A,,,,,,,2010-03-26 09:12:49.000
2010-04-11,17:19:24.0,-0.557012,119.815125,35.988,4.32504,270,83,161,3,71,7,,B,,,,,,,2010-04-11 17:19:24.000
2010-05-12,23:07:53.000,-1.25,120.09,11.0,5.1,336,68,-16,73,75,-157,,,,,,,,,2010-05-12 23:07:53.000
2010-05-14,04:44:20.0,-1.259143,1227107.0,6.974,3.83011,61,45,-176,328,87,-45,,B,,,,,,,2010-05-14 04:44:20.000
2010-05-16,08:40:21.0,-1.228655,1206439.0,13.653,3.90484,147,83,24,54,66,173,,B,,,,,,,2010-05-16 08:40:21.000
2010-05-17,16:19:06.0,-1.233073,119.971001,12.409,3.90484,228,46,138,350,61,52,,B,,,,,,,2010-05-17 16:19:06.000
2010-05-31,05:07:29.0,-1.221765,119.940689,12.324,3.97957,311,37,-55,90,61,-113,,D,,,,,,,2010-05-31 05:07:29.000
